2024-09-04 16:09:37,860 - ERROR - Failed to generate content poems. Type: poesia lírica, Subtype: None, Sentiment: amor, Rime: alexandrins (12 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:09:39,721 - ERROR - Failed to generate content poems. Type: poesia lírica, Subtype: None, Sentiment: amor, Rime: alexandrins (12 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:11:44,877 - ERROR - Failed to generate content poems. Type: sàtira, Subtype: None, Sentiment: amor, Rime: hexasíl·labs (6 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:12:04,705 - ERROR - Failed to generate content poems. Type: sàtira, Subtype: None, Sentiment: amor, Rime: hendecasíl·labs (11 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:12:08,609 - ERROR - Failed to generate content poems. Type: sàtira, Subtype: None, Sentiment: amor, Rime: alexandrins (12 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:13:16,295 - ERROR - Failed to generate content poems. Type: vers lliure (free verse), Subtype: None, Sentiment: amor, Rime: octosíl·labs (8 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:13:21,681 - ERROR - Failed to generate content poems. Type: sonet, Subtype: None, Sentiment: amor, Rime: pentasíl·labs (5 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:13:23,409 - ERROR - Failed to generate content poems. Type: sonet, Subtype: None, Sentiment: amor, Rime: hexasíl·labs (6 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:13:27,241 - ERROR - Failed to generate content poems. Type: sonet, Subtype: None, Sentiment: amor, Rime: heptasíl·labs (7 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:13:27,548 - ERROR - Failed to generate content poems. Type: sonet, Subtype: None, Sentiment: amor, Rime: hexasíl·labs (6 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:13:29,001 - ERROR - Failed to generate content poems. Type: sonet, Subtype: None, Sentiment: amor, Rime: heptasíl·labs (7 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:13:30,281 - ERROR - Failed to generate content poems. Type: sonet, Subtype: None, Sentiment: amor, Rime: octosíl·labs (8 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:13:34,008 - ERROR - Failed to generate content poems. Type: sonet, Subtype: None, Sentiment: amor, Rime: enneasíl·labs (9 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
