2024-08-21 03:32:12,727 - ERROR - Failed to generate content for field: Computer Science, topic: Theory, subtopic: Algorithms and data structures, chapter: Algorismes bï¿½sics, subunit: Algorismes de ordenaciï¿½. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:33:41,417 - ERROR - Failed to generate content for field: History, topic: Modern History, subtopic: World War II, chapter: **El front europeu**, subunit: L'Holocaust: el genocidi jueu i la persecuciï¿½ dels nazis. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:34:43,985 - ERROR - Failed to generate content for field: History, topic: Early Modern History, subtopic: Age of Exploration, chapter: La Conquesta d'Amï¿½rica, subunit: El comer\ufffd d'esclaus: Un sistema cruel i injust. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:34:58,126 - ERROR - Failed to generate content for field: Medicine and Health, topic: Clinical Medicine, subtopic: Endocrinology, chapter: Les glï¿½ndules endocrines, subunit: Els ovaris (dones) i els testicles (homes): hormones sexuals. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:35:22,165 - ERROR - Failed to generate content for field: Medicine and Health, topic: Clinical Medicine, subtopic: Obstetrics and Gynecology, chapter: Anatomia i fisiologia reproductiva femenina, subunit: Anatomia dels ï¿½rgans reproductius femenins. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:35:30,501 - ERROR - Failed to generate content for field: Medicine and Health, topic: Clinical Medicine, subtopic: Obstetrics and Gynecology, chapter: Anatomia i fisiologia reproductiva femenina, subunit: Fisiologia del cicle menstrual. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:36:21,588 - ERROR - Failed to generate content for field: Medicine and Health, topic: Clinical Medicine, subtopic: Obstetrics and Gynecology, chapter: Cures pr\ufffdvies al part, subunit: Planificaciï¿½ familiar i mï¿½tides anticonceptius. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:36:32,846 - ERROR - Failed to generate content for field: Medicine and Health, topic: Clinical Medicine, subtopic: Obstetrics and Gynecology, chapter: Salut sexual masculina, subunit: Anatomia i fisiologia reproductiva masculina. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:37:08,712 - ERROR - Failed to generate content for field: Medicine and Health, topic: Clinical Medicine, subtopic: Obstetrics and Gynecology, chapter: Ginecologia, subunit: Infeccions de transmissiï¿½ sexual. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:37:22,119 - ERROR - Failed to generate content for field: Medicine and Health, topic: Basic Medical Sciences, subtopic: Anatomy, chapter: Anatomia de l'aparell reproductor, subunit: Anatomia de l'aparell reproductor femen\ufffd. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:37:33,188 - ERROR - Failed to generate content for field: Medicine and Health, topic: Basic Medical Sciences, subtopic: Anatomy, chapter: Anatomia de l'aparell reproductor, subunit: Anatomia de l'aparell reproductor mascul\ufffd. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:38:03,603 - ERROR - Failed to generate content for field: Medicine and Health, topic: Basic Medical Sciences, subtopic: Physiology, chapter: Fisiologia de la reproducciï¿½, subunit: Sistema reproductor mascul\ufffd: producciï¿½ de semen. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:38:14,157 - ERROR - Failed to generate content for field: Medicine and Health, topic: Basic Medical Sciences, subtopic: Physiology, chapter: Fisiologia del sistema nerviï¿½s, subunit: El sistema endocrï¿½: regulaciï¿½ hormonal. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:38:20,700 - ERROR - Failed to generate content for field: Medicine and Health, topic: Basic Medical Sciences, subtopic: Physiology, chapter: Fisiologia de la reproducciï¿½, subunit: Sistema reproductor femen\ufffd: ovulaciï¿½ i menstruaciï¿½. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:38:31,341 - ERROR - Failed to generate content for field: Psychology, topic: Basic Psychology, subtopic: Biological Psychology, chapter: Psicologia Fisiol\ufffdgica, subunit: La sexualitat humana. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:39:11,626 - ERROR - Failed to generate content for field: Travel and Adventure, topic: Americas, subtopic: Central America, chapter: Explorant Amï¿½rica Central, subunit: Amï¿½rica Central: El Salvador, Guatemala, Hondures, Nicaragua, Costa Rica i Panam\ufffd. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-08-21 03:39:28,090 - ERROR - Failed to generate content for field: Travel and Adventure, topic: Americas, subtopic: South America, chapter: Explorant Amï¿½rica del Sud, subunit: Descobriment de paisatges naturals. Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
